id,item,category,price,quantity,total,customer_name,order_date,payment_method,status
274,Lemon Cake,Custom,57.08,4,228.32,Karim Yousef,2025-09-26,Credit Card,Cancelled
275,Carrot Cake,Anniversary,28.82,5,144.1,Nadine Farhat,2025-05-04,Credit Card,Processing
276,Fruit Cake,Regular,55.74,5,278.7,Rami Fares,2025-08-02,Online Transfer,Pending
277,Tiramisu Cake,Anniversary,22.75,3,68.25,Sara Mansour,2025-02-10,Credit Card,Delivered
278,Cheesecake,Wedding,23.42,5,117.1,Fadi Aoun,2025-01-21,Credit Card,Processing
279,Carrot Cake,Wedding,20.44,3,61.32,Dana Khoury,2025-01-08,Cash,Processing
280,Black Forest Cake,Wedding,55.72,5,278.6,Tarek Nassif,2025-04-15,Debit Card,Cancelled
281,Vanilla Cake,Anniversary,29.03,5,145.15,Nour Assaf,2025-07-03,Online Transfer,Processing
282,Carrot Cake,Anniversary,14.93,4,59.72,Nour Assaf,2025-06-13,Online Transfer,Delivered
283,Chocolate Cake,Anniversary,38.13,2,76.26,Tarek Nassif,2025-03-16,Online Transfer,Cancelled
284,Marble Cake,Wedding,17.62,3,52.86,Maya Chami,2025-07-14,Debit Card,Cancelled
285,Tiramisu Cake,Wedding,48.17,4,192.68,Dana Khoury,2025-09-09,Debit Card,Pending
286,Fruit Cake,Birthday,17.0,5,85.0,Tarek Nassif,2025-04-05,Cash,Delivered
287,Black Forest Cake,Wedding,57.26,1,57.26,Nadine Farhat,2025-01-04,Credit Card,Delivered
288,Tiramisu Cake,Anniversary,45.36,1,45.36,Ahmad Khalil,2025-09-16,Online Transfer,Processing
289,Chocolate Cake,Birthday,10.79,5,53.95,Tarek Nassif,2025-07-30,Debit Card,Cancelled
290,Cheesecake,Birthday,10.86,4,43.44,Tarek Nassif,2025-04-02,Credit Card,Pending
291,Vanilla Cake,Custom,19.6,5,98.0,Sara Mansour,2025-07-01,Debit Card,Processing
292,Vanilla Cake,Birthday,32.95,2,65.9,Hassan Ali,2025-04-26,Cash,Delivered
293,Chocolate Cake,Birthday,30.26,4,121.04,Dana Khoury,2025-09-01,Credit Card,Delivered
294,Marble Cake,Birthday,34.99,4,139.96,Jad Sarkis,2025-06-19,Cash,Pending
295,Chocolate Cake,Birthday,20.57,5,102.85,Hassan Ali,2025-05-19,Debit Card,Delivered
296,Marble Cake,Wedding,18.97,3,56.91,Fadi Aoun,2025-04-17,Online Transfer,Delivered
297,Black Forest Cake,Regular,24.96,5,124.8,Nour Assaf,2025-10-18,Online Transfer,Pending
298,Chocolate Cake,Birthday,49.52,1,49.52,Karim Yousef,2025-06-27,Credit Card,Delivered
299,Lemon Cake,Birthday,27.03,5,135.15,Hassan Ali,2025-07-23,Debit Card,Processing
300,Black Forest Cake,Wedding,34.53,3,103.59,Hassan Ali,2025-07-12,Online Transfer,Delivered
301,Cheesecake,Birthday,48.61,3,145.83,Omar Saleh,2025-05-07,Credit Card,Processing
302,Lemon Cake,Anniversary,45.58,2,91.16,Sara Mansour,2025-07-19,Cash,Delivered
303,Cheesecake,Wedding,57.15,4,228.6,Sara Mansour,2025-05-19,Credit Card,Processing
304,Cheesecake,Birthday,32.44,5,162.2,Sara Mansour,2025-07-28,Debit Card,Delivered
305,Chocolate Cake,Anniversary,39.85,3,119.55,Karim Yousef,2025-07-17,Online Transfer,Delivered
306,Fruit Cake,Wedding,46.24,5,231.2,Hassan Ali,2025-10-20,Online Transfer,Pending
307,Red Velvet Cake,Birthday,16.94,3,50.82,Rami Fares,2025-09-10,Online Transfer,Cancelled
308,Lemon Cake,Anniversary,31.06,4,124.24,Layla Hamdan,2025-02-09,Online Transfer,Pending
309,Black Forest Cake,Anniversary,32.89,2,65.78,Nadine Farhat,2025-01-04,Online Transfer,Cancelled
310,Vanilla Cake,Anniversary,32.01,4,128.04,Rania Deeb,2025-03-11,Credit Card,Processing
311,Tiramisu Cake,Regular,25.71,4,102.84,Fadi Aoun,2025-05-30,Credit Card,Cancelled
312,Marble Cake,Wedding,28.8,4,115.2,Rania Deeb,2025-02-28,Credit Card,Delivered
313,Tiramisu Cake,Anniversary,57.65,4,230.6,Nadine Farhat,2025-04-18,Cash,Processing
314,Carrot Cake,Anniversary,43.65,2,87.3,Hassan Ali,2025-06-05,Credit Card,Processing
315,Marble Cake,Custom,49.45,1,49.45,Tarek Nassif,2025-09-03,Online Transfer,Delivered
316,Marble Cake,Birthday,49.54,3,148.62,Sara Mansour,2025-10-02,Credit Card,Cancelled
317,Black Forest Cake,Anniversary,18.32,5,91.6,Fadi Aoun,2025-10-16,Online Transfer,Delivered
318,Fruit Cake,Regular,10.53,3,31.59,Rania Deeb,2025-09-19,Credit Card,Processing
319,Red Velvet Cake,Anniversary,28.71,4,114.84,Ahmad Khalil,2025-09-14,Online Transfer,Delivered
320,Lemon Cake,Anniversary,24.77,1,24.77,Nour Assaf,2025-03-14,Online Transfer,Pending
321,Tiramisu Cake,Custom,36.06,3,108.18,Nour Assaf,2025-02-19,Cash,Cancelled
322,Cheesecake,Wedding,12.23,1,12.23,Jad Sarkis,2025-06-25,Credit Card,Pending
323,Tiramisu Cake,Wedding,37.6,3,112.8,Fadi Aoun,2025-08-07,Online Transfer,Pending
324,Marble Cake,Wedding,19.32,4,77.28,Maya Chami,2025-01-15,Online Transfer,Processing
325,Cheesecake,Regular,10.22,2,20.44,Sara Mansour,2025-05-23,Credit Card,Cancelled
326,Tiramisu Cake,Regular,26.3,4,105.2,Hassan Ali,2025-05-15,Debit Card,Processing
327,Lemon Cake,Custom,40.57,5,202.85,Rania Deeb,2025-06-28,Credit Card,Cancelled
328,Lemon Cake,Birthday,55.93,5,279.65,Layla Hamdan,2025-03-10,Debit Card,Delivered
329,Black Forest Cake,Regular,19.15,2,38.3,Rami Fares,2025-07-18,Online Transfer,Processing
330,Fruit Cake,Wedding,19.29,5,96.45,Maya Chami,2025-03-30,Debit Card,Pending
331,Lemon Cake,Birthday,19.35,4,77.4,Maya Chami,2025-01-28,Credit Card,Pending
332,Black Forest Cake,Custom,50.76,5,253.8,Karim Yousef,2025-09-11,Online Transfer,Processing
333,Vanilla Cake,Birthday,18.36,5,91.8,Omar Saleh,2025-04-23,Credit Card,Cancelled
334,Fruit Cake,Regular,18.41,4,73.64,Sara Mansour,2025-09-11,Cash,Cancelled
335,Tiramisu Cake,Regular,48.76,3,146.28,Layla Hamdan,2025-01-22,Online Transfer,Delivered
336,Tiramisu Cake,Anniversary,46.8,2,93.6,Nour Assaf,2025-01-17,Cash,Processing
337,Carrot Cake,Regular,53.26,1,53.26,Dana Khoury,2025-05-02,Debit Card,Processing
338,Carrot Cake,Birthday,18.3,2,36.6,Rania Deeb,2025-04-16,Debit Card,Cancelled
339,Vanilla Cake,Regular,39.84,2,79.68,Omar Saleh,2025-05-30,Cash,Pending
340,Red Velvet Cake,Wedding,58.14,4,232.56,Layla Hamdan,2025-05-22,Credit Card,Cancelled
341,Marble Cake,Anniversary,51.42,4,205.68,Hassan Ali,2025-03-14,Online Transfer,Processing
342,Vanilla Cake,Anniversary,32.6,1,32.6,Maya Chami,2025-09-21,Online Transfer,Cancelled
343,Lemon Cake,Birthday,39.1,1,39.1,Fadi Aoun,2025-08-23,Online Transfer,Pending
344,Lemon Cake,Anniversary,58.41,2,116.82,Nour Assaf,2025-05-18,Credit Card,Processing
345,Tiramisu Cake,Birthday,49.42,1,49.42,Sara Mansour,2025-02-20,Credit Card,Processing
346,Vanilla Cake,Wedding,32.83,4,131.32,Nadine Farhat,2025-03-09,Debit Card,Delivered
347,Red Velvet Cake,Birthday,42.73,3,128.19,Karim Yousef,2025-07-10,Debit Card,Pending
348,Chocolate Cake,Wedding,31.46,1,31.46,Maya Chami,2025-02-18,Cash,Pending
349,Chocolate Cake,Birthday,39.68,5,198.4,Dana Khoury,2025-08-16,Debit Card,Delivered
350,Tiramisu Cake,Birthday,59.41,4,237.64,Layla Hamdan,2025-03-09,Online Transfer,Delivered
351,Lemon Cake,Anniversary,46.54,1,46.54,Rami Fares,2025-06-10,Online Transfer,Pending
352,Marble Cake,Birthday,42.08,2,84.16,Rania Deeb,2025-09-29,Credit Card,Processing
353,Black Forest Cake,Regular,27.56,2,55.12,Hassan Ali,2025-03-19,Online Transfer,Pending
354,Marble Cake,Custom,14.33,1,14.33,Nour Assaf,2025-03-05,Online Transfer,Cancelled
355,Carrot Cake,Regular,49.55,2,99.1,Rania Deeb,2025-02-13,Debit Card,Delivered
356,Marble Cake,Regular,52.39,3,157.17,Layla Hamdan,2025-09-23,Online Transfer,Cancelled
357,Cheesecake,Wedding,42.31,2,84.62,Maya Chami,2025-07-17,Cash,Delivered
358,Marble Cake,Custom,59.34,3,178.02,Nour Assaf,2025-07-18,Credit Card,Processing
359,Cheesecake,Birthday,57.72,1,57.72,Omar Saleh,2025-10-28,Credit Card,Delivered
360,Fruit Cake,Custom,56.13,4,224.52,Karim Yousef,2025-05-27,Online Transfer,Delivered
361,Vanilla Cake,Birthday,42.03,5,210.15,Omar Saleh,2025-03-20,Cash,Pending
362,Black Forest Cake,Regular,58.72,2,117.44,Hassan Ali,2025-06-17,Cash,Cancelled
363,Cheesecake,Custom,44.93,2,89.86,Sara Mansour,2025-05-06,Online Transfer,Delivered
364,Red Velvet Cake,Birthday,25.46,2,50.92,Rami Fares,2025-01-07,Online Transfer,Cancelled
365,Red Velvet Cake,Anniversary,36.15,3,108.45,Dana Khoury,2025-07-10,Cash,Delivered
366,Cheesecake,Anniversary,26.75,4,107.0,Dana Khoury,2025-09-26,Cash,Processing
367,Marble Cake,Wedding,32.76,3,98.28,Nour Assaf,2025-09-13,Credit Card,Cancelled
368,Carrot Cake,Regular,48.67,5,243.35,Ahmad Khalil,2025-03-01,Cash,Delivered
369,Red Velvet Cake,Wedding,22.23,4,88.92,Jad Sarkis,2025-07-16,Cash,Processing
370,Vanilla Cake,Birthday,21.23,2,42.46,Rania Deeb,2025-06-13,Debit Card,Delivered
371,Fruit Cake,Birthday,35.1,1,35.1,Karim Yousef,2025-04-25,Cash,Processing
372,Fruit Cake,Custom,53.3,3,159.9,Ahmad Khalil,2025-02-14,Debit Card,Pending
373,Tiramisu Cake,Anniversary,24.58,3,73.74,Rania Deeb,2025-05-05,Online Transfer,Pending
374,Red Velvet Cake,Birthday,46.62,5,233.1,Jad Sarkis,2025-05-06,Online Transfer,Delivered
375,Lemon Cake,Birthday,21.65,3,64.95,Fadi Aoun,2025-01-05,Online Transfer,Cancelled
376,Tiramisu Cake,Birthday,15.2,5,76.0,Rami Fares,2025-08-03,Debit Card,Delivered
377,Black Forest Cake,Anniversary,12.2,2,24.4,Maya Chami,2025-09-24,Cash,Delivered
378,Chocolate Cake,Custom,35.27,4,141.08,Hassan Ali,2025-10-18,Credit Card,Pending
379,Lemon Cake,Anniversary,24.58,3,73.74,Maya Chami,2025-07-21,Debit Card,Pending
380,Cheesecake,Wedding,13.73,2,27.46,Sara Mansour,2025-10-27,Credit Card,Processing
381,Lemon Cake,Wedding,33.3,4,133.2,Maya Chami,2025-10-02,Debit Card,Processing
382,Vanilla Cake,Regular,23.25,1,23.25,Ahmad Khalil,2025-03-22,Credit Card,Cancelled
383,Fruit Cake,Birthday,17.42,2,34.84,Hassan Ali,2025-07-22,Debit Card,Cancelled
384,Tiramisu Cake,Regular,51.0,2,102.0,Dana Khoury,2025-07-27,Credit Card,Delivered
385,Chocolate Cake,Wedding,33.1,2,66.2,Rami Fares,2025-01-07,Credit Card,Processing
386,Vanilla Cake,Birthday,28.61,1,28.61,Ahmad Khalil,2025-10-28,Cash,Pending
387,Cheesecake,Anniversary,55.12,4,220.48,Sara Mansour,2025-03-07,Cash,Processing
388,Tiramisu Cake,Birthday,12.53,5,62.65,Karim Yousef,2025-07-22,Online Transfer,Pending
389,Tiramisu Cake,Wedding,27.7,2,55.4,Ahmad Khalil,2025-05-24,Credit Card,Cancelled
390,Cheesecake,Anniversary,34.94,5,174.7,Karim Yousef,2025-02-01,Credit Card,Processing
391,Chocolate Cake,Custom,19.97,5,99.85,Fadi Aoun,2025-10-06,Debit Card,Processing
392,Fruit Cake,Anniversary,37.23,4,148.92,Karim Yousef,2025-10-17,Debit Card,Pending
393,Vanilla Cake,Birthday,11.3,5,56.5,Fadi Aoun,2025-01-16,Online Transfer,Cancelled
394,Carrot Cake,Wedding,48.34,2,96.68,Omar Saleh,2025-02-21,Cash,Pending
395,Red Velvet Cake,Wedding,38.78,4,155.12,Rania Deeb,2025-03-30,Debit Card,Cancelled
396,Marble Cake,Regular,55.7,1,55.7,Rami Fares,2025-06-30,Credit Card,Processing
397,Cheesecake,Birthday,37.11,2,74.22,Layla Hamdan,2025-01-20,Credit Card,Delivered
398,Red Velvet Cake,Anniversary,36.32,1,36.32,Dana Khoury,2025-04-14,Credit Card,Cancelled
399,Cheesecake,Regular,12.98,2,25.96,Nadine Farhat,2025-03-14,Debit Card,Delivered
400,Lemon Cake,Anniversary,28.68,4,114.72,Nour Assaf,2025-02-21,Credit Card,Pending
401,Lemon Cake,Wedding,46.62,4,186.48,Dana Khoury,2025-09-07,Debit Card,Pending
402,Vanilla Cake,Wedding,43.28,2,86.56,Rami Fares,2025-06-07,Cash,Processing
403,Marble Cake,Anniversary,52.54,5,262.7,Jad Sarkis,2025-04-04,Credit Card,Delivered
404,Carrot Cake,Anniversary,56.83,2,113.66,Nour Assaf,2025-02-09,Credit Card,Delivered
405,Vanilla Cake,Wedding,51.08,3,153.24,Layla Hamdan,2025-01-06,Cash,Cancelled
406,Chocolate Cake,Custom,22.83,1,22.83,Maya Chami,2025-01-01,Online Transfer,Pending
407,Fruit Cake,Custom,54.23,4,216.92,Sara Mansour,2025-06-29,Online Transfer,Pending
408,Vanilla Cake,Birthday,18.13,1,18.13,Nour Assaf,2025-01-18,Debit Card,Delivered
409,Cheesecake,Regular,13.71,2,27.42,Jad Sarkis,2025-03-24,Cash,Cancelled
410,Black Forest Cake,Wedding,39.7,5,198.5,Rania Deeb,2025-01-16,Online Transfer,Pending
411,Black Forest Cake,Regular,12.68,3,38.04,Dana Khoury,2025-04-08,Debit Card,Cancelled
412,Marble Cake,Regular,24.87,1,24.87,Nadine Farhat,2025-07-21,Online Transfer,Pending
413,Vanilla Cake,Regular,12.73,1,12.73,Maya Chami,2025-02-14,Credit Card,Delivered
414,Cheesecake,Custom,11.29,2,22.58,Nadine Farhat,2025-05-30,Cash,Cancelled
415,Cheesecake,Regular,49.24,4,196.96,Karim Yousef,2025-05-16,Credit Card,Cancelled
416,Chocolate Cake,Anniversary,54.27,3,162.81,Maya Chami,2025-08-17,Online Transfer,Cancelled
417,Red Velvet Cake,Birthday,21.31,3,63.93,Sara Mansour,2025-02-01,Debit Card,Processing
418,Chocolate Cake,Custom,58.54,5,292.7,Nadine Farhat,2025-10-11,Online Transfer,Processing
419,Cheesecake,Custom,38.64,2,77.28,Jad Sarkis,2025-06-03,Cash,Pending
420,Carrot Cake,Wedding,16.01,4,64.04,Rami Fares,2025-03-27,Cash,Processing
421,Marble Cake,Anniversary,13.92,4,55.68,Nour Assaf,2025-03-17,Cash,Delivered
422,Vanilla Cake,Regular,29.4,4,117.6,Maya Chami,2025-06-16,Cash,Processing
423,Marble Cake,Regular,15.63,2,31.26,Fadi Aoun,2025-10-18,Cash,Delivered
424,Fruit Cake,Anniversary,38.13,1,38.13,Jad Sarkis,2025-05-27,Online Transfer,Cancelled
425,Chocolate Cake,Wedding,29.15,4,116.6,Omar Saleh,2025-08-31,Online Transfer,Pending
426,Lemon Cake,Wedding,40.91,4,163.64,Ahmad Khalil,2025-07-22,Online Transfer,Cancelled
427,Vanilla Cake,Anniversary,54.85,1,54.85,Nadine Farhat,2025-06-05,Online Transfer,Delivered
428,Tiramisu Cake,Anniversary,58.62,2,117.24,Omar Saleh,2025-06-03,Online Transfer,Delivered
429,Tiramisu Cake,Regular,19.4,2,38.8,Nadine Farhat,2025-07-28,Debit Card,Delivered
430,Fruit Cake,Custom,35.76,2,71.52,Rami Fares,2025-06-09,Cash,Pending
431,Carrot Cake,Birthday,19.64,2,39.28,Maya Chami,2025-01-30,Cash,Cancelled
432,Fruit Cake,Custom,45.23,3,135.69,Hassan Ali,2025-08-26,Cash,Delivered
433,Red Velvet Cake,Custom,22.1,4,88.4,Rania Deeb,2025-08-17,Debit Card,Cancelled
434,Vanilla Cake,Birthday,18.18,3,54.54,Karim Yousef,2025-02-16,Cash,Pending
435,Carrot Cake,Wedding,52.69,2,105.38,Omar Saleh,2025-04-24,Online Transfer,Delivered
436,Red Velvet Cake,Regular,53.23,1,53.23,Fadi Aoun,2025-03-09,Cash,Pending
437,Black Forest Cake,Custom,22.62,3,67.86,Nadine Farhat,2025-05-21,Debit Card,Processing
438,Marble Cake,Custom,22.6,4,90.4,Rania Deeb,2025-09-24,Cash,Delivered
439,Vanilla Cake,Birthday,35.58,3,106.74,Maya Chami,2025-05-25,Cash,Cancelled
440,Vanilla Cake,Anniversary,59.42,3,178.26,Layla Hamdan,2025-05-22,Credit Card,Pending
441,Red Velvet Cake,Birthday,54.98,5,274.9,Hassan Ali,2025-06-13,Online Transfer,Cancelled
442,Chocolate Cake,Regular,22.97,4,91.88,Dana Khoury,2025-07-18,Credit Card,Cancelled
443,Tiramisu Cake,Anniversary,46.33,2,92.66,Tarek Nassif,2025-10-01,Debit Card,Pending
444,Cheesecake,Custom,52.03,5,260.15,Rami Fares,2025-05-31,Debit Card,Pending
445,Carrot Cake,Anniversary,57.35,3,172.05,Layla Hamdan,2025-02-15,Debit Card,Processing
446,Marble Cake,Anniversary,49.4,3,148.2,Maya Chami,2025-05-14,Cash,Processing
447,Tiramisu Cake,Wedding,12.68,5,63.4,Tarek Nassif,2025-02-06,Cash,Processing
448,Red Velvet Cake,Wedding,36.49,4,145.96,Nour Assaf,2025-03-19,Online Transfer,Processing
449,Tiramisu Cake,Anniversary,17.16,2,34.32,Hassan Ali,2025-02-11,Credit Card,Cancelled
450,Carrot Cake,Wedding,41.72,1,41.72,Rania Deeb,2025-05-21,Credit Card,Processing
451,Black Forest Cake,Custom,49.26,1,49.26,Karim Yousef,2025-08-11,Online Transfer,Processing
452,Chocolate Cake,Anniversary,10.23,5,51.15,Fadi Aoun,2025-07-11,Credit Card,Delivered
453,Vanilla Cake,Wedding,43.84,2,87.68,Sara Mansour,2025-06-26,Online Transfer,Cancelled
454,Tiramisu Cake,Regular,18.35,1,18.35,Rania Deeb,2025-05-29,Debit Card,Processing
455,Lemon Cake,Wedding,54.4,2,108.8,Rami Fares,2025-09-08,Online Transfer,Delivered
456,Marble Cake,Regular,21.42,2,42.84,Rami Fares,2025-01-12,Cash,Cancelled
457,Fruit Cake,Regular,45.56,1,45.56,Ahmad Khalil,2025-05-11,Cash,Delivered
458,Black Forest Cake,Custom,42.68,1,42.68,Karim Yousef,2025-03-01,Cash,Cancelled
459,Vanilla Cake,Custom,33.72,2,67.44,Hassan Ali,2025-01-05,Cash,Cancelled
460,Fruit Cake,Regular,41.14,2,82.28,Sara Mansour,2025-02-23,Debit Card,Delivered
461,Vanilla Cake,Regular,49.24,4,196.96,Layla Hamdan,2025-04-13,Debit Card,Processing
462,Carrot Cake,Custom,24.77,1,24.77,Nour Assaf,2025-09-12,Credit Card,Delivered
463,Tiramisu Cake,Wedding,10.64,1,10.64,Sara Mansour,2025-10-21,Cash,Delivered
464,Vanilla Cake,Custom,55.24,2,110.48,Ahmad Khalil,2025-06-01,Cash,Pending
465,Black Forest Cake,Birthday,53.71,3,161.13,Sara Mansour,2025-06-10,Cash,Delivered
466,Tiramisu Cake,Regular,52.6,2,105.2,Omar Saleh,2025-07-03,Cash,Cancelled
467,Black Forest Cake,Custom,50.75,2,101.5,Omar Saleh,2025-07-25,Online Transfer,Processing
468,Chocolate Cake,Wedding,49.99,2,99.98,Sara Mansour,2025-03-09,Online Transfer,Processing
469,Lemon Cake,Regular,50.11,4,200.44,Ahmad Khalil,2025-07-14,Credit Card,Processing
470,Chocolate Cake,Birthday,56.02,1,56.02,Omar Saleh,2025-08-14,Debit Card,Delivered
471,Marble Cake,Wedding,45.23,5,226.15,Hassan Ali,2025-10-23,Debit Card,Delivered
472,Black Forest Cake,Wedding,31.64,2,63.28,Nadine Farhat,2025-06-27,Cash,Delivered
473,Tiramisu Cake,Wedding,42.17,2,84.34,Sara Mansour,2025-08-29,Online Transfer,Cancelled
474,Carrot Cake,Regular,22.04,3,66.12,Hassan Ali,2025-09-17,Online Transfer,Processing
475,Marble Cake,Custom,50.86,1,50.86,Sara Mansour,2025-08-16,Online Transfer,Processing
476,Cheesecake,Custom,25.8,4,103.2,Karim Yousef,2025-01-10,Cash,Delivered
477,Fruit Cake,Regular,51.3,5,256.5,Layla Hamdan,2025-06-05,Online Transfer,Cancelled
478,Tiramisu Cake,Anniversary,28.17,1,28.17,Tarek Nassif,2025-04-25,Online Transfer,Cancelled
479,Chocolate Cake,Anniversary,45.8,1,45.8,Nour Assaf,2025-04-24,Debit Card,Cancelled
480,Red Velvet Cake,Custom,45.1,1,45.1,Sara Mansour,2025-09-10,Debit Card,Pending
481,Carrot Cake,Anniversary,19.38,4,77.52,Sara Mansour,2025-08-23,Online Transfer,Delivered
482,Tiramisu Cake,Regular,56.33,5,281.65,Tarek Nassif,2025-08-19,Credit Card,Processing
483,Marble Cake,Custom,10.22,1,10.22,Jad Sarkis,2025-08-10,Credit Card,Pending
484,Marble Cake,Regular,46.52,2,93.04,Jad Sarkis,2025-07-18,Debit Card,Processing
485,Vanilla Cake,Custom,30.93,5,154.65,Nour Assaf,2025-05-08,Debit Card,Processing
486,Vanilla Cake,Regular,50.24,2,100.48,Nadine Farhat,2025-09-20,Debit Card,Pending
487,Lemon Cake,Wedding,20.04,5,100.2,Dana Khoury,2025-05-29,Credit Card,Cancelled
488,Marble Cake,Regular,45.52,3,136.56,Hassan Ali,2025-09-03,Online Transfer,Cancelled
489,Fruit Cake,Birthday,53.87,4,215.48,Ahmad Khalil,2025-01-07,Online Transfer,Pending
490,Red Velvet Cake,Anniversary,12.65,1,12.65,Hassan Ali,2025-05-17,Debit Card,Pending
491,Chocolate Cake,Anniversary,51.97,3,155.91,Nadine Farhat,2025-10-05,Online Transfer,Delivered
492,Fruit Cake,Custom,40.81,5,204.05,Layla Hamdan,2025-04-25,Debit Card,Delivered
493,Fruit Cake,Birthday,56.32,4,225.28,Ahmad Khalil,2025-06-10,Debit Card,Pending
494,Lemon Cake,Regular,41.03,4,164.12,Tarek Nassif,2025-04-26,Credit Card,Pending
495,Red Velvet Cake,Wedding,24.71,2,49.42,Dana Khoury,2025-02-08,Cash,Processing
496,Red Velvet Cake,Wedding,12.03,3,36.09,Rania Deeb,2025-05-16,Debit Card,Delivered
497,Lemon Cake,Regular,26.53,2,53.06,Ahmad Khalil,2025-03-20,Debit Card,Processing
498,Lemon Cake,Regular,49.5,5,247.5,Layla Hamdan,2025-02-07,Credit Card,Delivered
499,Fruit Cake,Custom,49.31,2,98.62,Sara Mansour,2025-10-06,Debit Card,Pending
500,Vanilla Cake,Wedding,54.17,3,162.51,Fadi Aoun,2025-07-04,Online Transfer,Delivered
